aID,city,roomsNum,ownerID
5235,Jerusalem,5,11
1516,Ashdod,3,78
7758,Tel Aviv,5,74
5348,Nahariyya,3,96
8615,Beer Sheva,4,46
4663,Rishon LeZion,5,62
3785,Ashdod,4,53
7281,Beer Sheva,4,78
3348,Netanya,3,30
2376,Rishon LeZion,4,85
3666,Tel Aviv,4,78
8419,Ashdod,3,26
5579,Nahariyya,3,56
3070,Rishon LeZion,3,46
6885,Rishon LeZion,5,77
5748,Beer Sheva,3,84
9007,Tel Aviv,4,36
6689,Jerusalem,4,30
7438,Netanya,4,84
1713,Tel Aviv,5,40
6055,Ashdod,4,77
7374,Jerusalem,4,21
3539,Beer Sheva,5,88
5557,Netanya,3,97
1477,Nahariyya,5,65
9203,Beer Sheva,4,92
3022,Rishon LeZion,5,45
3854,Nahariyya,4,45
9273,Tel Aviv,3,37
5300,Tel Aviv,5,37
2335,Netanya,5,11
9624,Beer Sheva,3,22
1941,Ashdod,4,78
7292,Tel Aviv,4,48
5506,Nahariyya,5,65
6928,Beer Sheva,3,26
4115,Ashdod,5,33
2552,Beer Sheva,4,28
4003,Netanya,4,88
9261,Haifa,3,52
3812,Rishon LeZion,4,30
3828,Rishon LeZion,3,18
1965,Ashdod,5,74
2614,Tel Aviv,5,12
8978,Rishon LeZion,5,65
4352,Ashdod,3,96
7016,Netanya,5,15
4775,Tel Aviv,4,77
4514,Netanya,5,48
4103,Haifa,3,14
2238,Ashdod,4,78
3855,Netanya,4,45
9045,Tel Aviv,5,92
5366,Nahariyya,5,65
8510,Jerusalem,4,92
8604,Nahariyya,3,53
5605,Haifa,3,96
1859,Jerusalem,3,65
6593,Netanya,3,11
3059,Tel Aviv,3,92
6102,Haifa,5,52
6197,Netanya,5,96
3120,Haifa,5,11
3198,Ashdod,4,78
1086,Jerusalem,4,52
3096,Jerusalem,4,33
8324,Haifa,4,22
7050,Beer Sheva,5,18
2703,Jerusalem,4,74
8554,Nahariyya,4,93
3220,Rishon LeZion,3,84
4655,Beer Sheva,3,62
7986,Ashdod,5,38
8280,Netanya,4,84
9693,Rishon LeZion,3,87
7488,Tel Aviv,4,46
8903,Haifa,5,45
8806,Ashdod,5,26
4024,Ashdod,3,86
2683,Rishon LeZion,4,36
8715,Nahariyya,3,22
8955,Haifa,3,45
9615,Ashdod,3,48
5945,Netanya,3,12
1150,Netanya,3,33
